DevTypeMain	Country	LanguageWorkedWith	DatabaseWorkedWith	MiscTechWorkedWithMain	MiscTechWorkedWithSecondary1	MiscTechWorkedWithSecondary2	MiscTechWorkedWithSecondary3
Academic researcher	Germany	Assembly	MariaDB	.NET	.NET Core	Node.js	TensorFlow
Data scientist or machine learning specialist	Canada	C		TensorFlow	Torch/PyTorch		
Developer, back-end	United States	C++	MongoDB	.NET Core	Node.js	Unity 3D	
Developer, full-stack	Poland	Elixir	PostgreSQL	Node.js	React Native		
Developer, back-end	Russian Federation	C#	Microsoft SQL Server	.NET			
Developer, back-end	India	Assembly	MongoDB	Node.js			
Developer, back-end	United Kingdom	Bash/Shell/PowerShell	DynamoDB	.NET	.NET Core		
Developer, back-end	India	C	MongoDB	.NET	Node.js	Unity 3D	
Developer, back-end	Netherlands	C#	MariaDB	.NET	.NET Core		
Developer, back-end	United States	C++	Couchbase	Ansible	Chef	.NET	.NET Core
Developer, back-end	Brazil	HTML/CSS	Firebase	Cordova	Node.js	React Native	
Database administrator	Australia	C#	Microsoft SQL Server	.NET	.NET Core	Xamarin	
Developer, back-end	Sweden	Bash/Shell/PowerShell	Elasticsearch	.NET	.NET Core	Node.js	Unity 3D
Developer, back-end	Canada	Bash/Shell/PowerShell	Elasticsearch	Node.js			
Developer, back-end	Turkey	HTML/CSS	Firebase	Node.js			
Developer, full-stack	Germany	Bash/Shell/PowerShell	Cassandra	Node.js	Unity 3D		
Data or business analyst	United States	HTML/CSS	PostgreSQL	Pandas			
Developer, back-end	India	C++	Elasticsearch	.NET	.NET Core		
Developer, back-end	United Kingdom	Bash/Shell/PowerShell	Microsoft SQL Server	.NET Core	Node.js		
Developer, back-end	United States	Bash/Shell/PowerShell	DynamoDB	Ansible	Node.js	TensorFlow	Torch/PyTorch
Designer	United States	C++	DynamoDB	.NET	.NET Core	Node.js	React Native
Developer, back-end	Greece	Assembly	MySQL	Unity 3D			
Designer	Netherlands	Assembly	MariaDB	Ansible	.NET	.NET Core	Node.js
Developer, full-stack	United States	C#	MongoDB	.NET	.NET Core	Other(s):	
Data or business analyst	Netherlands	Python	MySQL	Apache Spark	TensorFlow		
Developer, full-stack	India	Bash/Shell/PowerShell	MongoDB	Node.js			
Data scientist or machine learning specialist	Germany	C#	Microsoft SQL Server	.NET	.NET Core	Node.js	
Developer, back-end	United States	Bash/Shell/PowerShell	MariaDB	Node.js	React Native		
Developer, full-stack	United States	Python	PostgreSQL	Node.js			
Database administrator	Sweden	C#	Microsoft SQL Server	.NET			
Developer, QA or test	Poland	C#	MariaDB	.NET	.NET Core		
Developer, front-end	India	C#	Microsoft SQL Server	.NET	.NET Core		
Designer	United Kingdom	C#	Microsoft SQL Server	.NET Core			
Developer, full-stack	United States	C#	Microsoft SQL Server	.NET	.NET Core	Node.js	
Data or business analyst	India	HTML/CSS	Oracle	.NET	Node.js		
Developer, back-end	United States	Bash/Shell/PowerShell	PostgreSQL	Node.js			
Academic researcher	Pakistan	Bash/Shell/PowerShell	DynamoDB	Cordova	Flutter	Node.js	React Native
Developer, back-end	Russian Federation	Bash/Shell/PowerShell	DynamoDB	Ansible	Apache Spark	Pandas	
Academic researcher	Pakistan	Bash/Shell/PowerShell	Firebase	Cordova	Flutter	Node.js	React Native
Database administrator	United States	Bash/Shell/PowerShell	MongoDB	.NET	.NET Core	Unity 3D	
Developer, back-end	India	C	Firebase	React Native			
Developer, full-stack	India	C++	MySQL	.NET			
Developer, back-end	United States	C#	DynamoDB	.NET	.NET Core	Node.js	
Developer, full-stack	United States	Bash/Shell/PowerShell	MongoDB	.NET Core	Node.js		
Developer, back-end	United Kingdom	Bash/Shell/PowerShell	Couchbase	Node.js			
Data or business analyst	India	HTML/CSS	MongoDB	Node.js			
Developer, front-end	Greece	C#	Microsoft SQL Server	.NET			
Developer, back-end	United States	Bash/Shell/PowerShell	MariaDB	Ansible	Apache Spark	.NET	
Database administrator	Germany	Bash/Shell/PowerShell	MongoDB	Unity 3D			
Developer, back-end	United States	Bash/Shell/PowerShell	Microsoft SQL Server	Node.js	React Native		
Data scientist or machine learning specialist	United States	HTML/CSS	MySQL	React Native			
Data or business analyst	Canada	Bash/Shell/PowerShell	Cassandra	Pandas	TensorFlow	Torch/PyTorch	
Academic researcher	United States	Bash/Shell/PowerShell	MariaDB	.NET	Torch/PyTorch	Unity 3D	Other(s):
Developer, full-stack	Netherlands	Bash/Shell/PowerShell	DynamoDB	.NET	.NET Core		
Developer, back-end	Brazil	C#	Firebase	.NET	.NET Core	Node.js	Xamarin
Developer, back-end	India	Java	Cassandra	Apache Spark	Hadoop		
Database administrator	United States	Bash/Shell/PowerShell	PostgreSQL	Node.js			
Academic researcher	Spain	C		Unity 3D			
Data or business analyst	Australia	Bash/Shell/PowerShell	MariaDB	Puppet			
Database administrator	Australia	Bash/Shell/PowerShell	MariaDB	Cordova	Node.js		
Developer, back-end	United States	C#	Microsoft SQL Server	.NET	.NET Core	Node.js	Xamarin
Database administrator	United States	Bash/Shell/PowerShell	DynamoDB	Ansible	Chef		
Developer, back-end	United Kingdom	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	.NET Core		
Developer, full-stack	Poland	Bash/Shell/PowerShell	MariaDB	.NET	.NET Core	Node.js	
Academic researcher	Spain	Python		Pandas	TensorFlow		
Developer, full-stack	Australia	Go	Microsoft SQL Server	Ansible	Chef	CryEngine	
Developer, back-end	United States	HTML/CSS	MongoDB	Node.js			
Developer, back-end	India	Java	Oracle	Node.js			
Developer, back-end	Ukraine	Bash/Shell/PowerShell	MySQL	Node.js			
Data or business analyst	India	C	Firebase	Cordova	Node.js	Pandas	
Developer, front-end	India	HTML/CSS	Firebase	Cordova			
Academic researcher	United States	Bash/Shell/PowerShell	Elasticsearch	Puppet			
Developer, back-end	Canada	Bash/Shell/PowerShell	PostgreSQL	Other(s):			
Developer, full-stack	France	HTML/CSS	Elasticsearch	Node.js			
Developer, back-end	Turkey	Bash/Shell/PowerShell	DynamoDB	Node.js			
Data or business analyst	India	HTML/CSS	MySQL	Pandas			
Developer, back-end	India	C	Elasticsearch	Apache Spark	Hadoop		
Database administrator	United States	C#	Microsoft SQL Server	.NET			
Designer	Poland	Java	Cassandra	Puppet			
Developer, full-stack	United States	Bash/Shell/PowerShell	MongoDB	Node.js			
Developer, full-stack	Australia	C#	Microsoft SQL Server	.NET	.NET Core	Xamarin	
Data scientist or machine learning specialist	United States	HTML/CSS	Elasticsearch	Apache Spark	Hadoop	Node.js	TensorFlow
Developer, back-end	Canada	C#	Couchbase	.NET	Unreal Engine		
Database administrator	United States	C	MySQL	.NET	Node.js		
Developer, back-end	India	Python	Elasticsearch	Pandas			
Developer, back-end	Poland	C#	SQLite	.NET	.NET Core	Xamarin	
Developer, front-end	China	C#	Microsoft SQL Server	.NET			
Data or business analyst	United Kingdom	Python	Microsoft SQL Server	Pandas			
Database administrator	United States	Bash/Shell/PowerShell	Microsoft SQL Server	Ansible	.NET	.NET Core	Pandas
Academic researcher	Pakistan	Assembly	Couchbase	Apache Spark	Flutter	Hadoop	Node.js
Developer, full-stack	United States	Bash/Shell/PowerShell	MySQL	.NET	Node.js		
Developer, full-stack	United States	HTML/CSS	DynamoDB	Node.js			
Developer, back-end	Sweden	C#	MongoDB	.NET	.NET Core		
DevOps specialist	Australia	C#	MariaDB	Node.js			
DevOps specialist	China	C	Microsoft SQL Server	.NET			
Designer	Pakistan	HTML/CSS	MariaDB	Node.js			
Developer, full-stack	Poland	Bash/Shell/PowerShell	SQLite	Chef	Node.js	Puppet	
Data or business analyst	United States	HTML/CSS	Microsoft SQL Server	Node.js			
Developer, back-end	Brazil	C++	MongoDB	Flutter	Node.js		
Developer, back-end	Russian Federation	Bash/Shell/PowerShell	Microsoft SQL Server	.NET			
Developer, back-end	United Kingdom	HTML/CSS	MySQL	Hadoop	Node.js		
Developer, back-end	Netherlands	Bash/Shell/PowerShell	MariaDB	Node.js			
Developer, full-stack	Italy	C#	Microsoft SQL Server	Cordova	.NET	.NET Core	
Developer, back-end	India	HTML/CSS	MongoDB	Node.js			
Developer, back-end	United Kingdom	C#	Microsoft SQL Server	.NET	Node.js		
Developer, full-stack	India	HTML/CSS	MySQL	Node.js			
Developer, back-end	United States	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	.NET Core	Node.js	
Developer, back-end	Russian Federation	Bash/Shell/PowerShell	MongoDB	Node.js			
Database administrator	United States	Bash/Shell/PowerShell	Elasticsearch	Node.js			
Developer, back-end	United States	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	.NET Core	Node.js	
Developer, back-end	India	Bash/Shell/PowerShell	Elasticsearch	Apache Spark	Hadoop		
Academic researcher	Brazil	HTML/CSS		Apache Spark			
Developer, full-stack	United States	Bash/Shell/PowerShell		Other(s):			
Data or business analyst	India	C	Cassandra	Hadoop			
Data or business analyst	Australia	Bash/Shell/PowerShell	DynamoDB	.NET	Node.js	Unity 3D	
Data scientist or machine learning specialist	United States	C		Pandas			
Developer, back-end	United States	Bash/Shell/PowerShell		Unity 3D			
Developer, back-end	India	HTML/CSS	MongoDB	Node.js			
Developer, full-stack	United States	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	.NET Core	Node.js	React Native
Data or business analyst	Canada	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	Xamarin		
Designer	India	Bash/Shell/PowerShell	Cassandra	Node.js			
Academic researcher	India	C++	Firebase	Apache Spark	.NET	.NET Core	Node.js
Developer, back-end	Brazil	Bash/Shell/PowerShell	MySQL	Ansible			
Developer, back-end	Poland	C#	Elasticsearch	Node.js			
Developer, back-end	Sweden	Bash/Shell/PowerShell	MongoDB	.NET	.NET Core	Node.js	
Designer	Germany	C#		.NET			
Data or business analyst	India	HTML/CSS	MySQL	Node.js			
Developer, full-stack	India	Assembly	MongoDB	Cordova	Node.js		
Developer, back-end	France	C	MariaDB	Hadoop	.NET	.NET Core	Node.js
Developer, back-end	Brazil	JavaScript	PostgreSQL	Node.js			
Developer, full-stack	India	C#	Microsoft SQL Server	.NET	Node.js	React Native	
Developer, back-end	India	C	MariaDB	.NET	.NET Core	Node.js	Pandas
Developer, full-stack	India	Java	Firebase	Node.js			
Designer	United Kingdom	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	.NET Core		
Developer, front-end	India	C	MongoDB	Node.js			
Developer, back-end	Poland	C	Couchbase	Ansible	.NET	.NET Core	Node.js
Academic researcher	Brazil	C	MariaDB	Node.js			
Academic researcher	Germany	Bash/Shell/PowerShell	SQLite	Pandas	Other(s):		
Developer, front-end	Netherlands	HTML/CSS	Firebase	Node.js			
Developer, back-end	Russian Federation	C#	MariaDB	.NET Core			
Designer	Australia	Bash/Shell/PowerShell	Microsoft SQL Server	Unity 3D			
Academic researcher	Spain	Bash/Shell/PowerShell	Microsoft SQL Server	.NET			
Developer, back-end	United States	Bash/Shell/PowerShell	Firebase	Node.js			
Developer, full-stack	Australia	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	.NET Core		
Developer, back-end	United States	Bash/Shell/PowerShell	Elasticsearch	Ansible	Apache Spark	Other(s):	
Developer, full-stack	Germany	Bash/Shell/PowerShell	Firebase	Cordova	Unity 3D	Xamarin	
Developer, back-end	Germany	Bash/Shell/PowerShell	Microsoft SQL Server	Ansible	Chef	Puppet	TensorFlow
Data or business analyst	Germany	HTML/CSS	Microsoft SQL Server	Apache Spark	Flutter	TensorFlow	
Data or business analyst	United States	Bash/Shell/PowerShell	MongoDB	Hadoop	.NET	Node.js	Pandas
Developer, full-stack	Brazil	C#	Microsoft SQL Server	.NET			
Data or business analyst	United States	Bash/Shell/PowerShell	Microsoft SQL Server	.NET			
Developer, full-stack	Germany	Bash/Shell/PowerShell	Elasticsearch	Node.js			
Developer, back-end	Netherlands	C#	Microsoft SQL Server	.NET	.NET Core	Xamarin	
Database administrator	Canada	Bash/Shell/PowerShell	Cassandra	Ansible	Chef	Node.js	
Developer, full-stack	United States	HTML/CSS	MongoDB	Cordova	Node.js		
Developer, back-end	Germany	Bash/Shell/PowerShell	Cassandra	.NET	Node.js		
Designer	Italy	Java	MongoDB	Ansible	Pandas		
Developer, back-end	United States	Bash/Shell/PowerShell	MongoDB	.NET	.NET Core		
Developer, back-end	France	HTML/CSS	MongoDB	Node.js			
Developer, back-end	India	HTML/CSS	MariaDB	Node.js			
Developer, back-end	Poland	Bash/Shell/PowerShell	Elasticsearch	Unity 3D			
Data scientist or machine learning specialist	United States	Bash/Shell/PowerShell	MariaDB	Node.js	Pandas		
Data scientist or machine learning specialist	Germany	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	.NET Core	Node.js	TensorFlow
Designer	United States	Bash/Shell/PowerShell	MongoDB	Node.js	Unity 3D		
Developer, back-end	China	Bash/Shell/PowerShell	Microsoft SQL Server	.NET	Node.js	TensorFlow	
Developer, full-stack	United Kingdom	Bash/Shell/PowerShell	Elasticsearch	Node.js			
Developer, full-stack	United States	C#	MongoDB	.NET			
Designer	United States	C#	Microsoft SQL Server	.NET Core	React Native	Xamarin	
Developer, back-end	India	HTML/CSS	Oracle	Pandas			
Designer	Australia	Java	MongoDB	Node.js			
Data scientist or machine learning specialist	United States	Bash/Shell/PowerShell	PostgreSQL	Ansible	Other(s):		
Developer, full-stack	France	Bash/Shell/PowerShell	Elasticsearch	Ansible	Cordova	Node.js	
Developer, full-stack	Brazil	Assembly	Firebase	Cordova			
Data scientist or machine learning specialist	United States	C#		Apache Spark	Hadoop	Pandas	
Developer, back-end	Netherlands	Bash/Shell/PowerShell	MongoDB	.NET	.NET Core	Node.js	
Developer, back-end	Turkey	HTML/CSS	MySQL	Cordova			
DevOps specialist	China	Bash/Shell/PowerShell	Elasticsearch	Node.js	TensorFlow		
Developer, back-end	United States	Assembly	Firebase	.NET	.NET Core	Node.js	Unity 3D
Developer, back-end	United States	Bash/Shell/PowerShell		TensorFlow			
Data scientist or machine learning specialist	Germany	Bash/Shell/PowerShell	Elasticsearch	Apache Spark	Pandas		
Database administrator	Germany	HTML/CSS	MongoDB	Node.js			
Developer, back-end	United States	Bash/Shell/PowerShell	DynamoDB	.NET	.NET Core	Node.js	
Developer, front-end	Netherlands	HTML/CSS		.NET Core			
Developer, full-stack	United States	Assembly	Elasticsearch	Pandas			
Academic researcher	United States	HTML/CSS	MySQL	Hadoop	Pandas	TensorFlow	Torch/PyTorch
Database administrator	United States	Bash/Shell/PowerShell	Firebase	Node.js			
Developer, front-end	United States	HTML/CSS	Firebase	Node.js			
Developer, full-stack	United Kingdom	Bash/Shell/PowerShell	Elasticsearch	Node.js			
DevOps specialist	United Kingdom	Bash/Shell/PowerShell	DynamoDB	Ansible			
Database administrator	United States	HTML/CSS	Microsoft SQL Server	.NET			
Developer, back-end	United States	C#	Microsoft SQL Server	.NET	.NET Core		
Developer, back-end	United States	Python	PostgreSQL	Apache Spark	Pandas	TensorFlow	
Data or business analyst	United States	Bash/Shell/PowerShell	DynamoDB	Pandas			
Developer, back-end	France	HTML/CSS	Elasticsearch	Cordova	Node.js		
Developer, full-stack	Germany	C	SQLite	Ansible	Node.js		
Developer, full-stack	Germany	Assembly	MariaDB	Cordova	Node.js		
Academic researcher	United Kingdom	HTML/CSS	Elasticsearch	Node.js			
Data or business analyst	Germany	Bash/Shell/PowerShell	DynamoDB	Node.js	TensorFlow		
Academic researcher	United States	Bash/Shell/PowerShell	MySQL	.NET	.NET Core	TensorFlow	Torch/PyTorch
Developer, back-end	Turkey	C++	MongoDB	.NET	.NET Core		
Developer, full-stack	United States	Bash/Shell/PowerShell	MongoDB	Node.js	Pandas		
Developer, back-end	India	C#	Microsoft SQL Server	.NET			
Developer, back-end	United Kingdom	C#	Elasticsearch	.NET	.NET Core		
Developer, back-end	United States	HTML/CSS	PostgreSQL	Cordova			
Database administrator	Netherlands	Bash/Shell/PowerShell	Elasticsearch	Node.js			
Database administrator	Italy	Bash/Shell/PowerShell	MongoDB	Apache Spark	.NET	React Native	
Developer, full-stack	United States	C#	MongoDB	.NET	.NET Core	Node.js	
Designer	United States	C#	Firebase	Flutter	Node.js	TensorFlow	Unity 3D
Data scientist or machine learning specialist	Canada	JavaScript	Microsoft SQL Server	TensorFlow	Torch/PyTorch		
Developer, back-end	United States	Clojure	PostgreSQL	Node.js	React Native		
Designer	Netherlands	C#	MySQL	.NET	Node.js		
Data or business analyst	Germany	Bash/Shell/PowerShell	MySQL	Pandas			
DevOps specialist	United Kingdom	Bash/Shell/PowerShell	MongoDB	Ansible	Node.js		
Developer, back-end	United Kingdom	Bash/Shell/PowerShell	Firebase	.NET	.NET Core	Node.js	
Academic researcher	Poland	Assembly	Microsoft SQL Server	Node.js			
Designer	United States	C	PostgreSQL	Node.js			
Developer, back-end	United Kingdom	Bash/Shell/PowerShell	MySQL	Ansible	Node.js	React Native	
Data or business analyst	Pakistan	Assembly	Microsoft SQL Server	.NET			
Developer, back-end	United Kingdom	Bash/Shell/PowerShell	Firebase	Ansible	.NET	Node.js	Pandas
Developer, back-end	United States	Bash/Shell/PowerShell	DynamoDB	Apache Spark	Node.js	Pandas	
Developer, back-end	United States	Assembly	Firebase	Node.js	React Native		
Developer, back-end	Sweden	C#	Elasticsearch	.NET Core	Node.js	Unity 3D	
Developer, full-stack	United Kingdom	C	MySQL	Node.js			
Data scientist or machine learning specialist	United States	C++	Microsoft SQL Server	.NET	.NET Core	Pandas	TensorFlow
Developer, back-end	United States	Java	MongoDB	Node.js			
Developer, back-end	Germany	C++	Elasticsearch	Ansible			
Developer, back-end	Germany	Bash/Shell/PowerShell	SQLite	Flutter	Pandas	TensorFlow	Unreal Engine
Developer, back-end	Poland	HTML/CSS	PostgreSQL	Other(s):			
Database administrator	Russian Federation	C#	MySQL	.NET			
Academic researcher	Canada	JavaScript	Elasticsearch	Node.js	TensorFlow		
Developer, back-end	Netherlands	Bash/Shell/PowerShell	PostgreSQL	Pandas			
Developer, full-stack	India	Java	Firebase	Node.js			
Developer, full-stack	United Kingdom	Python	Microsoft SQL Server	Pandas			
Data scientist or machine learning specialist	United States	Bash/Shell/PowerShell	Elasticsearch	Apache Spark	Hadoop		
Developer, back-end	India	Go	MongoDB	Node.js			
Developer, full-stack	United States	Bash/Shell/PowerShell	MariaDB	Unity 3D			
Developer, back-end	United States	Bash/Shell/PowerShell	PostgreSQL	Node.js			
Designer	Italy	JavaScript	PostgreSQL	Node.js			
Developer, full-stack	India	HTML/CSS	Microsoft SQL Server	.NET	.NET Core	React Native	
DevOps specialist	India	Bash/Shell/PowerShell	PostgreSQL	Ansible	Hadoop		
Developer, back-end	Germany	Bash/Shell/PowerShell	DynamoDB	Apache Spark			
Developer, full-stack	India	C#	Elasticsearch	.NET	.NET Core		
Developer, back-end	Poland	Bash/Shell/PowerShell	Cassandra	Ansible	Apache Spark	TensorFlow	
Developer, full-stack	United States	Bash/Shell/PowerShell	PostgreSQL	.NET	.NET Core	Node.js	React Native
Data or business analyst	Germany	C#	Microsoft SQL Server	Node.js	React Native		
Data scientist or machine learning specialist	India	Bash/Shell/PowerShell	MySQL	Apache Spark	Hadoop		
